# $Id: cluslex.dat 22202 2013-12-04 10:48:45Z sean.kuhnberger $ -*- coding: cp1252-unix -*-

# Consonant and vowel cluster lexcion for analysis of unknown stems
# =================================================================

# the clusters contain the archi-phonemes C.", CH" and HH"
# which are later-on converted to k."/ts" and ch"/X." and
# to vowels including glottal stops by the segmental phonetic 
# two-level rules 


#####################################
# Clusters for German stem analysis #
#####################################

fnucc î I."
fnucc ï I."
fnucc ò O."
fnucc ó O."
fnucc ô O."
fnucc õ O."
fnucc ö OE"
fnucc ø OE"
fnucc ù U."
fnucc ú U."
fnucc û U."
fnucc ü Y."
fnucc ý Y."
fnucc ÿ Y."
fnucc a A."
fnucc au AU"
fnucc e E."
fnucc eu OY"
fnucc i I."
fnucc ia TS"j."A."
fnucc ie TS"j."E."
fnucc o O."
fnucc oa w."A."
fnucc oi w."A."
fnucc oin w."en"
fnucc ou u."
fnucc oua u."A."
fnucc u U."
fnucc ua w."A."
fnucc y Y."


# fnuco: foreign unstressed nucleus of open syllables

fnuco œ oe"
fnuco à a."
fnuco á a."
fnuco â a."
fnuco ã a."
fnuco ä ae"
fnuco äu OY"
fnuco å o." # Swedish
fnuco æ ae"
fnuco è e."
fnuco é e."
fnuco ê e."
fnuco ë e."
fnuco ì i."
fnuco í i."
fnuco î i."
fnuco ï i."
fnuco ò o."
fnuco ó o."
fnuco ô o."
fnuco õ o."
fnuco ö oe"
fnuco ø oe"
fnuco ù u."
fnuco ú u."
fnuco û u."
fnuco ü y."
fnuco ý y."
fnuco ÿ y."
fnuco a a."
fnuco au AU"
fnuco ay E."j."
fnuco e e."
fnuco eau o."
fnuco eu OY"
fnuco ey E."j."
fnuco i i."
fnuco ia TS"j."a."
fnuco ie TS"j."e."
fnuco o o."
fnuco oa w."a."
fnuco oi w."a."
fnuco oin w."en"
fnuco ou u."
fnuco oua u."a."
fnuco u u."
fnuco ua w."a."
fnuco y y."

# fsnucs: foreign short stressed nucleus

fsnucs œ ^OE"
fsnucs à ^A."
fsnucs á ^A."
fsnucs â ^A."
fsnucs ã ^A."
fsnucs ä ^E."
fsnucs äu ^OY"
fsnucs å ^O." # Swedish
fsnucs æ ^E."
fsnucs è ^E."
fsnucs é ^E."
fsnucs ê ^E."
fsnucs ë ^E."
fsnucs ì ^I."
fsnucs í ^I."
fsnucs î ^I."
fsnucs ï ^I."
fsnucs ò ^O."
fsnucs ó ^O."
fsnucs ô ^O."
fsnucs õ ^O."
fsnucs ö ^OE"
fsnucs ø ^OE"
fsnucs ù ^U."
fsnucs ú ^U."
fsnucs û ^U."
fsnucs ü ^Y."
fsnucs ý ^Y."
fsnucs ÿ ^Y."
fsnucs a ^A."
fsnucs au ^AU"
fsnucs e ^E."
fsnucs eu ^OY"
fsnucs i ^I."
fsnucs ia TS"j."^A."
fsnucs ie TS"j."^E."
fsnucs o ^O."
fsnucs oa w."^A."
fsnucs oi w."^A."
fsnucs oin w."^en"
fsnucs ou ^u."
fsnucs oua u."^A."
fsnucs u ^U."
fsnucs ua w."^A."
fsnucs y ^Y."


# fsnucl: foreign long stressed nucleus 

fsnucl œ ^oe"
fsnucl à ^a."
fsnucl á ^a."
fsnucl â ^a."
fsnucl ã ^a."
fsnucl ä ^ae"
fsnucl äu ^OY"
fsnucl å ^o." # Swedish
